"피리미딘 생합성의 조절 효소인 ATCase는 최종 산물인 CTP에 의해 활성이 억제되고, 퓨린인 ATP에 의해 활성이 촉진된다. 이와 같이 효소의 활성 부위가 아닌 다른 부위에 물질이 결합하여 활성을 조절하는 효소를 무엇이라 하는가?",다른자리입체성 효소 (allosteric enzyme)
"항이뇨호르몬(ADH)은 콩팥의 _____에 작용하여 수분 재흡수를 촉진하며, 혈장 삼투압이 높거나 세포외액량이 감소했을 때 분비가 증가한다.",집합관 (collecting duct)
세포성 면역 반응과 체액성 면역 반응을 유도하는 백신의 효과를 증진시키기 위해 항원과 함께 투여하는 물질을 무엇이라고 하는가?,보강제 (adjuvant)
"붉은빵곰팡이와 같은 자낭균류는 유성 생식 결과, _____ 안에 8개의 _____를 형성한다.","자낭 (ascus), 자낭포자 (ascospore)"
코흐의 4원칙은 특정 _____이(가) 특정 _____의 원인임을 증명하기 위한 일련의 실험적 지침이다.,"미생물, 질병"
"히스티딘의 등전점(pI)은 곁사슬(R기)의 이미다졸 고리가 이온화되기 때문에, α-카르복실기와 α-아미노기의 pKa 값뿐만 아니라 _____의 pKa 값도 고려하여 계산해야 한다.",곁사슬 (R기)
"폐의 환기-관류 불균형에서, 폐포 환기는 정상이지만 혈액 관류가 차단된 경우(예: 폐색전증) 환기-관류 비율(V/Q ratio)은 어떻게 변하는가?",무한대에 가깝게 증가한다 (V/Q → ∞).
초파리의 신경세포 가지돌기가 서로 겹치지 않고 분포하는 '자기 회피(self-avoidance)' 현상은 어떤 유전자가 만들어내는 다양한 단백질 변이체에 의해 조절되는가?,DSCAM1 유전자
"CD4 T 세포 아형 중, B 세포가 형질세포로 분화하고 고친화도 항체를 생성하도록 돕는 역할을 전문적으로 수행하는 세포는 무엇인가?","여포 보조 T 세포 (Tfh, Follicular helper T cell)"
"히스톤 H3의 9번 라이신(H3K9)이 _____되면 이질염색질 형성이 촉진되어 유전자 발현이 억제되고, _____되면 유전자 발현이 활성화되는 경향이 있다.","메틸화 (methylation), 아세틸화 (acetylation)"
운동 단백질인 키네신(kinesin)과 디네인(dynein)은 모두 미세소관을 따라 물질을 수송한다. 세포의 중심체 쪽(- 말단)으로 이동하는 단백질은 무엇인가?,디네인 (dynein)
"텔로머레이스는 _____와(과) _____로 구성된 복합체로, 염색체 말단인 텔로미어의 길이를 유지하는 역할을 한다.","역전사효소 (reverse transcriptase), RNA 주형 (RNA template)"
"레트로바이러스를 이용한 유전자 치료 벡터에서, 바이러스 복제에 필요한 gag, pol, env 유전자는 벡터에서 제거하고 패키징 세포(packaging cell)에서 따로 발현시킨다. 그 이유는 무엇인가?",치료용 세포에서 바이러스가 증식하여 병을 일으키는 것을 막고 안전성을 높이기 위함이다.
"기억 CD8 T 세포 중, 림프절과 같은 2차 림프 기관에 주로 머물며 재감염 시 빠르게 증식하여 작동 T 세포로 분화하는 아형은 무엇인가?",중심 기억 T 세포 (Central memory T cell)
DNA 복제 개시 조절 단백질인 SeqA는 _____ 상태의 oriC에 결합하여 DNA 복제가 한 번의 세포 주기 동안 여러 번 일어나는 것을 방지한다.,반메틸화 (hemi-methylation)
"유전자형에 따라 표현형이 나타날 확률이 달라지는 유전 현상을 무엇이라고 하며, 이는 환경적 요인이나 다른 유전자의 영향을 받기 때문에 발생할 수 있는가?",불완전 침투 (incomplete penetrance)
"유전자 편집 기술인 CRISPR/Cas9에서, 절단된 DNA가 주형으로 제공된 donor DNA의 서열을 이용하여 수선되는 과정을 무엇이라고 하는가?","상동 의존 수선 (HDR, Homology-Directed Repair)"
"암세포는 산소가 충분한 조건에서도 해당과정을 통해 젖산을 생성하는 비효율적인 대사를 선호하는데, 이를 무엇이라고 하는가?",호기성 해당작용 (aerobic glycolysis) 또는 바르부르크 효과 (Warburg effect)
"억제성 신경전달물질인 GABA가 GABAB 수용체에 결합하면, G 단백질을 통해 어떤 이온 통로가 열려 과분극을 유발하는가?",K+ 통로
세포자살(apoptosis) 초기 단계의 세포를 탐지하기 위해 사용되는 Annexin V는 세포막의 어떤 변화를 인식하여 결합하는가?,세포막 바깥쪽으로 노출된 포스파티딜세린(phosphatidylserine)을 인식한다.
